adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,quarter,year
0001564590-20-010652,AccountsPayableCurrentAndNoncurrent,us-gaap/2019,20181231,0,USD,,,607000.0,,q1,2020
0000753308-20-000021,LongTermDebtCurrent,us-gaap/2019,20181231,0,USD,LegalEntity=NexteraEnergyResources;,NexteraEnergyResources,602000000.0,,q1,2020
0001393883-20-000011,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2019,20181231,4,USD,BusinessSegments=Other;,,9312000.0,,q1,2020
0001507385-20-000034,StockRedeemedOrCalledDuringPeriodValue,us-gaap/2019,20191231,4,USD,LegalEntity=VEREITOperatingPartnershipL.P.;PartnerCapitalComponents=PreferredStock;PartnerTypeOfPartnersCapitalAccount=GeneralPartner;,,182347000.0,,q1,2020
0001564590-20-005569,AvailableForSaleSecuritiesDebtSecurities,us-gaap/2019,20191231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=MortgageBackedSecurities;,,0.0,,q1,2020
0000075252-20-000021,IncreaseDecreaseInOtherOperatingCapitalNet,us-gaap/2019,20191231,4,USD,ConsolidatedEntities=GuarantorSubsidiaries;,,709524000.0,,q1,2020
0000024545-20-000005,NetCashProvidedByUsedInFinancingActivities,us-gaap/2019,20191231,4,USD,ConsolidatedEntities=NonGuarantorSubsidiaries;,,-122000000.0,,q1,2020
0001402057-20-000042,NetChangeInAccountsPayableInventoryFinancing,0001402057-20-000042,20191231,4,USD,ConsolidatedEntities=SubsidiaryIssuer;ConsolidationItems=ReportableLegalEntities;,,0.0,,q1,2020
0001564590-20-008792,ComprehensiveIncome,ifrs/2018,20171231,4,USD,ComponentsOfEquity=SharePremium;,,0.0,,q1,2020
0001193125-20-055383,TransferNetLossOnSaleInvestment,0001193125-20-055383,20191231,4,USD,ComponentsOfEquity=AccumulatedOtherComprehensiveIncome;,,3000000.0,,q1,2020
0001121404-20-000006,DividendsRecognisedAsDistributionsToNoncontrollingInterests,ifrs/2019,20181231,4,EUR,ComponentsOfEquity=NoncontrollingInterests;,,97000000.0,,q1,2020
0001140361-20-003746,IncreaseDecreaseThroughCurrentTaxOnShareBasedPaymentTransactionsEquity,0001140361-20-003746,20181031,6,USD,ComponentsOfEquity=ReserveOfGainsAndLossesOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments;,,0.0,,q1,2020
0000813762-20-000008,RepaymentsOfUnsecuredDebt,us-gaap/2019,20191231,4,USD,LegalEntity=IcahnEnterprisesHoldings;,IcahnEnterprisesHoldings,1700000000.0,,q1,2020
0000913778-20-000003,Assets,us-gaap/2019,20191231,0,USD,TaxCreditSeries=SeriesFortySix;,,375527.0,,q1,2020
0000067887-20-000011,RetainedEarningsAccumulatedDeficit,us-gaap/2019,20191231,0,USD,Restatement=RestatementAdjustment;,,2392000.0,,q1,2020
0000906709-20-000004,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2018,20171231,4,USD,,,36615000.0,,q1,2020
0001558370-20-002895,Assets,us-gaap/2019,20181231,0,USD,,,87897709.0,,q1,2020
0001683168-20-000153,StockIssuedDuringPeriodValueNewIssues,us-gaap/2019,20181130,2,USD,EquityComponents=AdditionalPaidInCapital;,,4153792.0,,q1,2020
0000070866-20-000007,StockRepurchasedDuringPeriodValue,us-gaap/2019,20191231,4,USD,EquityComponents=AdditionalPaidInCapital;,,-96000000.0,,q1,2020
0001493152-20-000576,AdjustmentsToAdditionalPaidInCapitalForIncreaseInNonControllingInterest,0001493152-20-000576,20190930,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,,,q1,2020
0001331451-20-000047,OtherAssetsFairValueDisclosure,us-gaap/2019,20191231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;,,83000000.0,,q1,2020
0000819689-20-000024,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2019,20181231,4,USD,EquityComponents=AdditionalPaidInCapital;,,56168.0,,q1,2020
0001174947-20-000132,Dividends,us-gaap/2019,20181231,1,USD,EquityComponents=AdditionalPaidInCapital;,,,,q1,2020
0001213900-20-004255,StockIssuedDuringPeriodValueForDebt,0001213900-20-004255,20181231,1,USD,,,217500.0,,q1,2020
0001558370-20-000911,StockIssuedDuringPeriodValueStockOptionsExercised,us-gaap/2019,20181231,4,USD,,,2174000.0,,q1,2020
0000717588-20-000006,StockholdersEquity,us-gaap/2019,20150331,0,USD,,,0.0,,q1,2020
0001185185-20-000040,StockholdersEquity,us-gaap/2019,20190531,0,USD,,,26871400.0,,q1,2020
0001564590-20-005564,StockholdersEquity,us-gaap/2019,20181231,0,USD,,,1756800000.0,,q1,2020
0001558235-20-000004,Revenues,us-gaap/2019,20180630,1,USD,,,55403000.0,,q1,2020
0001558370-20-002759,RepurchaseAgreementsInterestExpenseAmount,us-gaap/2019,20191231,4,USD,,,87000.0,,q1,2020
0001193125-20-031332,ProceedsFromLoanContributedToSecuritization,0001193125-20-031332,20181231,4,USD,,,512002000.0,,q1,2020
0001614976-20-000007,ProceedsFromLinesOfCredit,us-gaap/2019,20171231,4,USD,,,12700000.0,,q1,2020
0001213900-20-005186,AccountsPayableCurrent,us-gaap/2019,20191231,0,USD,,,403885.0,,q1,2020
0001493152-20-003353,AccountsReceivableNetCurrent,us-gaap/2019,20180331,0,USD,,,1201117.0,,q1,2020
0001654954-20-003540,AccountsReceivableNetCurrent,us-gaap/2019,20181231,0,USD,,,379000.0,,q1,2020
0001784031-20-000003,AccountsPayableRelatedPartiesCurrent,us-gaap/2019,20191231,0,USD,,,0.0,,q1,2020
0001576427-20-000011,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,us-gaap/2019,20181231,4,USD,,,154436000.0,,q1,2020
0001193125-20-058202,CommonStockSharesIssued,us-gaap/2019,20181231,0,shares,,,38814464.0,,q1,2020
0001213900-20-007922,CommonStockSharesIssued,us-gaap/2019,20181231,0,shares,,,257301000.0,,q1,2020
0001552000-20-000007,ComprehensiveIncomeLossNetofTaxAttributabletoNonredeemableNoncontrollingInterest,0001552000-20-000007,20171231,4,USD,,,6000000.0,,q1,2020
0000352736-20-000002,AvailableForSaleSecuritiesDebtSecurities,us-gaap/2019,20181231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FinancialInstrument=AssetBackedSecurities;,,22000000.0,,q1,2020
0001628280-20-003093,CurrentLiabilities,ifrs/2018,20191231,0,USD,AssociatesAndJointVentures=InvestmentsAccountedForUsingEquityMethod;,,1129000000.0,,q1,2020
0001628280-20-003659,AccountsReceivableNetCurrent,us-gaap/2019,20181231,0,USD,Restatement=ScenarioPreviouslyReported;,,134624000.0,,q1,2020
0000899051-20-000013,IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,us-gaap/2019,20181231,4,USD,Restatement=ScenarioPreviouslyReported;,,-356000000.0,,q1,2020
0001628280-20-003693,IncreaseDecreaseInInventories,us-gaap/2018,20180331,1,USD,Restatement=RestatementAdjustment;,,0.0,,q1,2020
0001331757-20-000010,NetTransfersDuringPeriodBetweenClassesofStockShares,0001331757-20-000010,20181231,4,shares,ClassOfStock=CommonClassB2;,,-17004000.0,,q1,2020
0001035443-20-000042,AmortizationOfAboveAndBelowMarketLeases,us-gaap/2019,20181231,4,USD,ConsolidatedEntities=ParentCompany;,,0.0,,q1,2020
0001437749-20-002375,AssetRetirementObligationsNoncurrent,us-gaap/2019,20190630,0,USD,,,621000.0,,q1,2020
0001199835-20-000054,StockholdersEquity,us-gaap/2019,20141231,0,USD,EquityComponents=AdditionalPaidInCapital;,,6260531.0,,q1,2020
0001206774-20-000670,StockholdersEquity,us-gaap/2019,20161231,0,USD,EquityComponents=AdditionalPaidInCapital;,,73371000.0,,q1,2020
0001493152-20-002273,StockholdersEquity,us-gaap/2019,20180930,0,USD,EquityComponents=AdditionalPaidInCapital;,,14121236.0,,q1,2020
0001647088-20-000010,StockIssuedDuringPeriodValueAcquisitions,us-gaap/2019,20181231,4,USD,,,148108000.0,,q1,2020
0001174947-20-000167,TotalStockholdersEquityBeforyEsopAndTreasuryStock,0001174947-20-000167,20190630,0,USD,,,39762766.0,,q1,2020
0001017303-20-000016,TreasuryStockValueAcquiredCostMethod,us-gaap/2019,20181231,4,USD,,,2000000.0,,q1,2020
0001477932-20-000846,StockholdersEquity,us-gaap/2019,20190930,0,USD,,,1144335.0,,q1,2020
0001458412-20-000016,StockholdersEquity,us-gaap/2019,20161231,0,USD,,,214837000.0,,q1,2020
0001213900-20-004021,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2019,20191231,1,shares,,,5474979.0,,q1,2020
0001069533-20-000010,PreferredStockSharesAuthorized,us-gaap/2019,20190930,0,shares,,,5000000.0,,q1,2020
0001650107-20-000024,PurchaseOfFinancialInstrumentsClassifiedAsInvestingActivities,ifrs/2019,20171231,4,EUR,,,0.0,,q1,2020
0001136261-20-000079,ResearchAndDevelopmentExpense,us-gaap/2019,20181231,4,USD,,,24666000.0,,q1,2020
0001564590-20-004475,ResearchAndDevelopmentExpense,us-gaap/2019,20171231,4,USD,,,1378000000.0,,q1,2020
0001704235-20-000027,RestructuringCostsAndAssetImpairmentCharges,us-gaap/2019,20191231,4,USD,,,41559000.0,,q1,2020
0001709682-20-000017,Revenues,us-gaap/2019,20181231,1,USD,,,68688000.0,,q1,2020
0000891482-20-000011,ProceedsFromPaymentsForOtherFinancingActivities,us-gaap/2019,20181231,4,USD,,,-139000.0,,q1,2020
0000794323-20-000003,ProceedsFromPaymentsForOtherFinancingActivities,us-gaap/2019,20171231,1,USD,,,-2000000.0,,q1,2020
0001104659-20-022065,ProvisionForDoubtfulAccountsAndSalesReturnsAndAllowances,0001104659-20-022065,20181231,2,USD,,,7998.0,,q1,2020
0001137774-20-000065,PaymentstoAcquireAssetsSupportingExperienceratedContractholderLiabilities,0001137774-20-000065,20171231,4,USD,,,39031000000.0,,q1,2020
0000016868-20-000010,PaymentsForRepurchaseOfOtherEquity,us-gaap/2019,20191231,4,CAD,,,11000000.0,,q1,2020
0001477932-20-000466,ProceedsFromNotesPayable,us-gaap/2019,20180630,2,USD,,,55300.0,,q1,2020
0001564590-20-009802,PreferredStockValue,us-gaap/2019,20191231,0,USD,,,,,q1,2020
0001232524-20-000016,AdditionalPaidInCapitalCommonStock,us-gaap/2019,20191231,0,USD,,,2266026000.0,,q1,2020
0000876883-20-000006,AccountsReceivableNetCurrent,us-gaap/2018,20191231,0,USD,,,450403000.0,,q1,2020
0001493152-20-004697,AssetsCurrent,us-gaap/2019,20181231,0,USD,,,4334445.0,,q1,2020
0001564590-20-009393,Assets,us-gaap/2019,20170131,0,USD,RealEstateAndAccumulatedDepreciationDescriptionOfProperty=SearsDepartmentStoresandAutoCenters;,,73121000.0,,q1,2020
0001303313-20-000007,ProfitLoss,us-gaap/2019,20181231,4,USD,BusinessSegments=HomeBasedServices;,,79740000.0,,q1,2020
0001193125-20-048303,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,us-gaap/2019,20191231,4,USD,RetirementPlanSponsorLocation=US;RetirementPlanType=PensionPlansDefinedBenefit;,,59000.0,,q1,2020
0001065696-20-000008,ProceedsFromAccountsReceivableSecuritization,us-gaap/2019,20181231,4,USD,ConsolidatedEntities=NonGuarantorSubsidiaries;,,10120000.0,,q1,2020
0000893691-20-000008,PaymentsToAcquireBusinessesNetOfCashAcquired,us-gaap/2019,20181031,0,USD,BusinessAcquisition=BWI;,,22306000.0,,q1,2020
0001193125-20-056815,Assets,us-gaap/2019,20181231,0,USD,BusinessSegments=ProsharesUltraShortSilver;,,13578709.0,,q1,2020
0001243429-20-000004,NoncontrollingInterests,ifrs/2018,20191231,0,USD,ClassesOfLiabilities=NonFinancialLiabilities;,,1962000000.0,,q1,2020
0001498547-20-000015,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap/2019,20161231,0,USD,,,17794000.0,,q1,2020
0001178913-20-000672,CashAndCashEquivalentsAtCarryingValue,us-gaap/2019,20191231,0,USD,,,223901000.0,,q1,2020
0000833079-20-000026,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap/2019,20191231,4,USD,,,8000000.0,,q1,2020
0001493152-20-005076,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap/2019,20191231,0,USD,,,8267.0,,q1,2020
0001437749-20-005330,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap/2019,20181231,0,USD,,,14985000.0,,q1,2020
0001584207-20-000011,CommonStockDividendsPerShareDeclared,us-gaap/2019,20190930,1,USD,,,2.25,,q1,2020
0001062993-20-001031,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,us-gaap/2019,20190930,3,USD,,,6776617.0,,q1,2020
0001140361-20-004146,CommitmentsAndContingencies,us-gaap/2019,20181231,0,USD,,,,,q1,2020
0001558370-20-001080,StockIssuedDuringPeriodValueRestrictedStockAwardForfeitures,us-gaap/2019,20181231,4,USD,EquityComponents=AdditionalPaidInCapital;,,0.0,,q1,2020
0001403431-20-000021,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,us-gaap/2019,20181231,4,USD,,,422000.0,,q1,2020
0001628280-20-002934,StockIssuedDuringPeriodValueNewIssues,us-gaap/2018,20191231,4,USD,,,10632000.0,,q1,2020
0001334978-20-000003,StockIssuedDuringPeriodValueNewIssues,us-gaap/2019,20191231,4,USD,,,333419000.0,,q1,2020
0001624794-20-000019,OperatingIncomeLoss,us-gaap/2019,20181231,3,USD,ConsolidationItems=OperatingSegments;,,53369000.0,,q1,2020
0001171843-20-000396,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2019,20191130,4,USD,EquityComponents=AdditionalPaidInCapital;,,1197000.0,,q1,2020
0001104659-20-039272,StockholdersEquity,us-gaap/2019,20171231,0,USD,,,11226855.0,,q1,2020
0000897101-20-000148,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2019,20181231,4,shares,,,5221000.0,,q1,2020
0001683168-20-000949,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2019,20181231,4,shares,,,1600484.0,,q1,2020
0000097745-20-000009,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2019,20191231,4,shares,,,400000000.0,,q1,2020
0001648416-20-000022,ProceedsFromCurrentBorrowings,ifrs/2019,20191231,4,EUR,,,298316000.0,,q1,2020
0001193125-20-043853,SecuritiesLoaned,us-gaap/2019,20191231,0,USD,,,14985000000.0,,q1,2020
0001213900-20-007488,RevenueFromRelatedParties,us-gaap/2019,20181231,4,USD,,,,,q1,2020
0001539894-20-000012,Revenues,us-gaap/2018,20161231,4,USD,,,177579000.0,,q1,2020
0001104659-20-003043,RetainedEarningsAccumulatedDeficit,us-gaap/2019,20190930,0,USD,,,-27000199.0,,q1,2020
0000089800-20-000005,RetainedEarningsAccumulatedDeficit,us-gaap/2019,20181231,0,USD,,,6246500000.0,,q1,2020
0001562762-20-000075,RetainedEarningsAccumulatedDeficit,us-gaap/2019,20181231,0,USD,,,-1084518000.0,,q1,2020
0001564590-20-007326,RetainedEarningsAccumulatedDeficit,us-gaap/2019,20181231,0,USD,,,837107000.0,"The 2019 amounts for the noted line items include an adjustment related to the Companys first quarter 2019 adoption of Accounting Standards Update (ASU) No. 2018-02, Income Statement  Reporting Comprehensive Income (Topic 220): Reclassification of Certain Tax Effects from Accumulated Other Comprehensive income.",q1,2020
0001564590-20-010998,ProfitLoss,us-gaap/2019,20181231,4,USD,,,-41662000.0,,q1,2020
0001104659-20-024324,RetainedEarningsAccumulatedDeficit,us-gaap/2019,20191231,0,USD,,,-253132000.0,,q1,2020
0000733269-20-000012,PaymentsToDevelopSoftware,us-gaap/2019,20181231,3,USD,,,1322000.0,,q1,2020
0001721868-20-000132,ProceedsFromRelatedPartyDebt,us-gaap/2019,20180930,3,USD,,,190756.0,,q1,2020
0001213900-20-002424,ProceedsFromIssuanceOfCommonStock,us-gaap/2019,20190930,3,USD,,,3670000.0,,q1,2020
0001564590-20-011221,PreferredStockParOrStatedValuePerShare,us-gaap/2019,20181231,0,USD,,,0.01,,q1,2020
0001193125-20-080490,OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,ifrs/2019,20171231,4,USD,,,823000000.0,,q1,2020
0000205402-20-000005,OtherAssetsNoncurrent,us-gaap/2019,20191231,0,USD,,,111700000.0,,q1,2020
0001558370-20-000496,NonoperatingIncomeExpense,us-gaap/2019,20191231,2,USD,,,-151000000.0,,q1,2020
0001239819-20-000032,NetIncomeLoss,us-gaap/2019,20181231,4,USD,,,11004241.0,,q1,2020
0001174947-20-000445,InterestIncomeExpenseAfterProvisionForLoanLoss,us-gaap/2019,20180630,1,USD,,,7965000.0,,q1,2020
